P1,P2,P3,P4,x1,y1,z1,x2,y2,z2,r,label
0,0,1,0,-1.71,-13.66,-4.78,2.77,-8.86,-0.48,149,4
0,0,1,1,-2.12,-5.02,-1.65,1.74,-9.86,2.68,150,4
0,0,1,1,-1.63,-4.18,-0.05,-1.73,-9.74,0.87,147,4
0,0,1,1,-1.64,-8.33,-6.69,1.76,-9.23,0.04,136,1
0,0,1,1,-0.14,-7.92,6.66,0.61,-8.36,-0.77,127,1
0,0,1,1,-1.42,-8.44,-0.98,-1.16,-9.86,0.5,126,1
0,0,1,1,-19.5,-5.37,17.92,0.47,-9.39,0.74,121,1
0,0,1,1,0.49,-10.06,1.72,-0.1,-9.38,0.91,108,2
0,0,1,1,0.96,-9.72,2.77,0.37,-10.62,-0.38,103,2
0,0,1,1,-2.22,-7.76,3.1,0.2,-9.49,-2.18,102,2
0,1,1,1,2.78,-8.53,8.23,1.35,-10.17,0.99,102,2
0,1,0,1,-2.12,-9.54,-2.93,-1.38,-12.5,-1.39,110,2
1,1,0,1,-2.04,-9.51,-2.85,-0.74,-16.44,-1.49,165,2
1,1,0,1,-2.68,-10.36,-1.41,-0.02,-13.15,5.91,261,2
1,1,0,0,-0.81,-8.88,4.21,3.41,-3.79,-1.26,345,2
1,1,0,0,-1.07,-9.68,-1.05,-0.71,-3.22,1.34,375,2
1,1,0,0,-2.7,-9.69,-12.25,-9.16,-6.29,-5.62,375,3
1,1,0,0,0.54,-9.2,2.86,-1.69,-8.93,3.01,375,3
1,1,0,0,-1.93,-8.88,-4.89,-2.21,-9.89,4.83,356,3
1,1,0,0,-1.56,-9.38,-1.57,-0.2,-10.13,-2.51,300,4
1,1,0,0,-0.21,-9.73,1.42,-4.87,-11.72,-0.15,236,4
1,1,0,0,-2.08,-10.91,3.06,-9.91,-10.82,-3.24,182,4
1,1,0,0,0.19,-9.92,1.93,-9.83,-9.1,-3.8,166,4
1,0,1,0,-0.73,-11.83,-0.15,4.74,-14.68,-1.36,165,4
1,0,1,0,0.27,-14.96,6.21,0.45,-9.26,-1,165,4
0,0,1,0,-1.31,-12.92,4.4,-0.68,-9.81,0.61,165,4
0,0,1,1,-2.19,-9.28,-3.21,-3.18,-10.48,-0.81,165,4
0,0,1,1,1.92,-6.73,-2.74,1.6,-9.73,0.36,166,4
0,0,1,1,1.42,-8.26,2.99,-0.38,-9.35,0.26,154,1
0,0,1,1,3.01,-5.72,10.09,0.44,-8.32,4.6,148,1
0,0,1,1,0.95,-9.2,-9.61,-2.51,-9.59,-8.32,145,1
0,0,1,1,-1.04,-9.36,3.45,-0.43,-9.21,-1.16,133,2
0,0,1,1,0.19,-9.39,2.81,-0.78,-9.4,1.36,121,2
0,0,1,1,-0.33,-11.17,0.94,-0.67,-9.09,-0.1,117,2
0,0,1,1,0.42,-14.13,8.96,-0.65,-9.55,0.56,114,2
0,0,0,1,6.18,-15.49,1.51,-3.1,-8.91,-0.68,115,2
0,1,0,1,0.18,-14.72,-1.6,-1.07,-10.9,0.76,115,2
0,1,0,1,0.03,-9.32,0.6,-3.52,-15.51,8.46,114,2
0,1,0,1,-0.18,-9.6,-1.31,-3.56,-14.12,1.26,174,2
1,1,0,0,1.27,-8.84,-0.94,-5.9,-3.61,-3.04,265,2
1,1,0,0,1.56,-9.79,1.68,-6.7,-5.12,-9.86,328,2
1,1,0,0,3.41,-10.01,7.14,-1.69,-5.07,1.4,352,3
1,1,0,0,-0.53,-9.78,-0.19,-4.71,-7.98,0.37,351,3
1,1,0,0,-0.07,-9.47,1.47,-2.42,-9.59,1.88,351,3
1,1,0,0,3.6,-15.37,11.77,-2.35,-10.13,1.45,341,3
1,1,0,0,0.73,-9.18,8.95,2.74,-10.36,-2.3,289,4
1,1,0,0,-0.04,-10.99,0.65,0.26,-10.18,-1.09,224,4
1,1,0,0,-0.02,-10.3,1.25,-2.11,-8.65,7.87,160,4
1,0,0,0,-0.25,-10.06,2,-9.65,-11.37,-0.79,138,4
1,0,1,0,4.18,-15.77,10.95,3.28,-13.39,-3.24,138,4
1,0,1,0,1.01,-11.58,3.86,-3.91,-9.35,-4.78,138,4
1,0,1,0,-1.77,-12.99,3.32,2.56,-9.41,0.41,138,4
0,0,1,1,-1.06,-8.65,13.51,2.82,-8.73,0.32,138,4
0,0,1,1,4.79,-4.91,5.66,-1.21,-9.85,1.82,138,4
0,0,1,1,0.69,-9.82,1.76,0.58,-9.15,0.26,138,1
